   1  8  5  5  5  5  4  4  4  4  0.377  0.254  5  4
   2  6  2  2  3  3  3  4  5  3  0.137  0.322  3  3
   3  7  1  1  1  2  4  4  5  4  0.225  0.223  4  5
   4  9  3  3  3  3  3  2  3  3  0.083  0.299  3  2
   5  6  4  4  4  4  1  1  1  1  0.141  0.040  4  1
   6 21  2  2  2  2  5  5  5  5  0.044  0.274  2  5
   7 25  4  4  4  4  2  2  2  2  0.103  0.119  4  2
   8 23  4  2  4  4  1  1  1  1  0.137  0.011  3  1
   9  8  3  3  4  4  1  3  2  1  0.126  0.157  4  3
  10 15  2  2  1  2  4  5  5  5  0.069  0.531  3  5
  11 23  2  3  2  2  4  4  4  4  0.143  0.219  4  4
  12 19  4  3  3  4  1  2  1  1  0.210  0.017  3  1
  13  1  3  2  2  3  5  5  5  5  0.029  0.483  3  5
  14  4  3  3  3  3  5  5  5  4  0.076  0.362  3  4
  15  4  4  4  4  2  2  2  2  2  0.057  0.191  2  2
  16 14  4  4  5  4  1  1  1  2  0.218  0.029  4  1
  17 17  1  1  1  1  3  3  3  3  0.098  0.180  1  3
  18 16  5  5  5  5  1  1  1  2  0.276  0.021  5  1
  19  5  4  4  4  4  3  2  2  2  0.096  0.221  3  2
  20  6  1  1  1  1  5  5  3  5  0.039  0.448  1  5
  21 22  2  5  5  5  2  2  1  2  0.141  0.155  3  2
  22 24  2  2  2  2  4  4  4  3  0.090  0.072  2  3
  23 10  3  4  4  2  4  4  5  4  0.095  0.278  2  4
  24  3  2  2  1  1  4  4  4  4  0.107  0.258  3  3
  25 23  5  5  5  5  2  2  2  2  0.261  0.030  5  2
  26 11  3  3  3  3  2  2  2  2  0.204  0.186  3  2
  27 14  1  1  1  1  5  5  5  5  0.013  0.373  1  5
  28  1  1  1  1  1  4  1  3  4  0.003  0.141  1  1
  29  8  4  4  3  3  5  5  5  5  0.100  0.343  3  5
  30 11  4  4  5  4  1  1  1  1  0.269  0.073  5  1
  31  4  2  2  2  4  1  1  1  1  0.087  0.016  4  1
  32 23  1  1  1  1  5  5  5  5  0.004  0.345  1  5
  33  1  2  3  3  2  3  3  2  3  0.027  0.187  2  3
  34 25  2  2  2  2  1  1  1  1  0.057  0.074  2  1
  35  3  3  5  3  2  2  3  2  2  0.244  0.150  5  2
  36  2  1  1  1  1  4  4  4  4  0.012  0.247  1  4
  37 21  1  1  1  1  4  4  3  3  0.032  0.236  1  4
  38  8  2  2  2  2  2  1  1  2  0.096  0.121  2  1
  39 21  4  4  4  4  2  2  1  2  0.143  0.054  4  2
  40 13  2  2  2  2  2  3  1  2  0.062  0.108  2  2
  41 17  4  4  4  4  4  5  4  4  0.264  0.188  4  4
  42 24  1  1  1  1  5  5  5  5  0.028  0.161  1  5
  43 10  1  1  1  1  2  1  2  2  0.070  0.066  1  1
  44 12  1  1  1  1  2  3  2  3  0.042  0.181  1  2
  45  2  4  4  3  4  2  2  2  3  0.378  0.110  4  2
  46  9  4  4  4  4  2  3  1  2  0.105  0.333  4  3
  47 17  2  2  2  2  5  4  5  5  0.104  0.315  2  5
  48 25  1  1  1  1  5  5  5  5  0.007  0.422  1  5
  49 12  2  2  2  2  4  4  4  4  0.118  0.391  2  4
  50 18  5  4  3  4  4  4  4  4  0.155  0.313  3  4
  51 22  4  4  3  4  3  4  3  4  0.154  0.205  4  4
  52  4  5  5  5  5  4  4  4  5  0.260  0.419  5  5
  53  1  4  4  4  4  2  4  4  2  0.264  0.204  4  4
  54 13  5  5  5  5  1  1  2  1  0.360  0.075  5  1
  55 20  1  1  1  1  3  3  3  3  0.040  0.083  1  3
  56 18  3  5  4  3  5  5  5  5  0.193  0.501  4  5
  57  9  1  1  1  1  5  5  5  5  0.007  0.627  1  5
  58  9  2  2  2  2  1  1  2  1  0.043  0.220  2  1
  59 16  4  4  4  4  3  2  2  1  0.241  0.054  4  2
  60 10  5  5  5  5  1  2  1  1  0.565  0.083  5  2
  61 24  5  4  4  4  2  3  1  2  0.271  0.040  4  2
  62 17  5  5  5  5  1  1  1  1  0.622  0.055  5  1
  63  5  2  2  2  2  4  5  5  3  0.089  0.445  1  4
  64 12  3  3  3  3  5  5  5  5  0.219  0.541  3  5
  65 11  2  2  2  2  4  5  5  4  0.096  0.576  2  4
  66 20  2  3  5  2  2  2  2  2  0.126  0.081  3  2
  67 21  3  3  3  3  3  3  4  4  0.100  0.177  3  3
  68 18  1  1  1  1  3  3  3  3  0.063  0.214  2  2
  69  9  5  5  5  5  4  4  4  4  0.153  0.393  5  4
  70 13  1  1  1  1  5  5  5  5  0.004  0.279  1  4
  71 15  1  1  2  1  5  4  4  4  0.012  0.379  1  4
  72 21  5  5  5  5  1  1  2  1  0.273  0.050  5  1
  73 15  4  4  4  4  3  3  3  3  0.123  0.301  4  3
  74  6  5  5  5  5  4  3  4  4  0.216  0.336  5  4
  75 19  2  2  2  2  5  5  5  5  0.229  0.293  5  5
  76 23  3  4  3  3  3  3  3  3  0.130  0.165  2  3
  77  2  3  3  4  3  3  3  3  2  0.350  0.130  3  3
  78 22  5  3  4  1  5  5  5  5  0.100  0.285  1  5
  79 25  3  3  3  3  4  3  3  3  0.091  0.255  3  4
  80 20  3  2  4  3  5  5  5  5  0.117  0.600  2  5
  81  8  1  1  1  1  3  2  3  3  0.026  0.149  1  2
  82 22  1  1  1  2  4  3  4  3  0.108  0.163  2  3
  83 18  4  3  5  5  2  2  1  2  0.204  0.090  5  1
  84  3  5  4  5  5  1  1  1  1  0.194  0.270  4  4
  85 16  2  2  2  1  5  5  5  5  0.102  0.402  3  5
  86  2  2  2  2  2  5  5  5  5  0.028  0.397  2  5
  87  5  1  1  1  1  2  3  4  4  0.095  0.475  2  5
  88 17  3  3  3  3  2  2  2  2  0.226  0.105  3  2
  89  1  5  5  5  5  1  2  1  1  0.347  0.153  5  2
  90 10  4  3  3  4  5  5  4  5  0.191  0.406  4  5
